timestamp,ax,ay,az,gx,gy,gz,mx,my,mz
1752689875.0505083,-0.0544,0.003,-1.0103,0.28,-0.0525,-3.0013,-0.1603,0.2355,0.5313
1752689875.1151526,-0.0506,0.0046,-1.0146,0.1312,-0.0263,-3.0188,-0.1548,0.2379,0.5285
1752689875.1524901,-0.0525,0.0032,-1.0116,0.3938,-0.0438,-3.2462,-0.1581,0.2376,0.5359
1752689875.2007449,-0.0541,0.0018,-1.0127,0.4025,-0.3938,-3.325,-0.1571,0.2401,0.5337
1752689875.2545457,-0.0528,0.0041,-1.0121,0.2362,-0.1312,-2.9663,-0.1557,0.2416,0.5328
1752689875.302915,-0.0544,0.0046,-1.0125,0.2975,-0.1312,-3.1238,-0.1574,0.2415,0.5335
1752689875.3566573,-0.0553,0.0041,-1.0119,0.035,-0.0963,-3.2375,-0.1588,0.2402,0.5305
1752689875.437184,-0.0538,0.0043,-1.0153,0.2975,-0.1488,-3.045,-0.1562,0.237,0.5309
1752689875.4596384,-0.0527,0.0058,-1.0002,0.105,-0.1312,-3.2462,-0.1561,0.2387,0.5331
1752689875.5079954,-0.0554,0.0032,-1.0148,0.5425,-0.1488,-2.9313,-0.156,0.2376,0.5347
1752689875.5616958,-0.0529,0.0053,-1.0094,0.0613,-0.1488,-3.15,-0.1576,0.2388,0.5323
1752689875.6100903,-0.0539,0.0051,-1.0115,-0.035,-0.1312,-3.3075,-0.1578,0.2363,0.5299
1752689875.663759,-0.0532,0.0036,-1.0114,0.2187,-0.0525,-2.9488,-0.1579,0.2387,0.5316
1752689875.7120583,-0.0551,0.0035,-1.0106,0.1575,0.0088,-2.9488,-0.1571,0.2365,0.5317
1752689875.7658231,-0.0528,0.0026,-1.0128,0.4112,0.0525,-3.01,-0.1568,0.2367,0.5328
1752689875.8141298,-0.0544,0.0026,-1.0111,0.3237,0.035,-2.87,-0.1611,0.2436,0.5303
1752689875.8688655,-0.0533,0.0023,-1.0125,0.0438,-0.0525,-3.2638,-0.1575,0.239,0.5319
1752689875.9172244,-0.0525,0.0027,-1.0135,0.2187,-0.2888,-3.1238,-0.1613,0.2372,0.5324
1752689875.9709542,-0.0551,0.0037,-1.0116,0.175,-0.1837,-3.0975,-0.1599,0.2414,0.526
1752689876.0193913,-0.0556,0.0045,-1.0168,0.4375,-0.2975,-3.1588,-0.1628,0.239,0.5323
1752689876.0729578,-0.0524,0.0029,-1.0104,0.0788,-0.245,-2.7037,-0.1588,0.2414,0.5323
1752689876.1215954,-0.0538,0.0013,-1.0124,0.0613,-0.1575,-3.0625,-0.16,0.2365,0.5299
1752689876.1750484,-0.058,0.0015,-1.0143,0.1925,-0.1837,-3.08,-0.1634,0.2435,0.5328
1752689876.2235045,-0.0542,0.0033,-1.0155,0.2187,-0.0175,-3.2288,-0.1565,0.2404,0.5314
1752689876.2781103,-0.0543,0.0013,-1.0139,0.1575,-0.0875,-3.1412,-0.153,0.2405,0.5303
1752689876.326305,-0.0532,0.0021,-1.0124,0.245,-0.105,-3.1063,-0.161,0.2429,0.5247
1752689876.3801308,-0.0522,0.002,-1.0103,0.0263,-0.0263,-2.9313,-0.1557,0.2446,0.5307
1752689876.428384,-0.054,0.0026,-1.0144,0.3325,-0.07,-3.0013,-0.1578,0.2421,0.5375
1752689876.482204,-0.0538,0.0044,-1.0125,0.2888,-0.1312,-3.0275,-0.1592,0.2456,0.5313
1752689876.5308137,-0.0537,0.0027,-1.0146,0.2187,-0.0963,-2.9488,-0.1604,0.2408,0.5265
1752689876.6590393,-0.0534,0.003,-1.0097,0.4725,-0.105,-2.8788,-0.1557,0.2401,0.5323
1752689876.6905837,-0.0534,0.0035,-1.0131,0.665,-0.1837,-2.9313,-0.1567,0.2386,0.5299
1752689876.7162538,-0.0541,0.0017,-1.0129,0.0788,-0.0438,-3.0713,-0.1585,0.2402,0.53
1752689876.7483706,-0.0532,0.0012,-1.0145,0.4725,-0.0175,-2.9663,-0.1576,0.2405,0.5278
1752689876.7894888,-0.055,0.004,-1.0157,0.3588,-0.1312,-3.1763,-0.1532,0.2383,0.5285
1752689876.8377106,-0.055,0.0015,-1.0143,-2.0825,-0.28,-3.1763,-0.1576,0.2356,0.5285
1752689876.891371,-0.0556,0.0032,-1.0124,0.35,-0.2625,-2.9663,-0.1558,0.2402,0.5396
1752689876.9397266,-0.0529,0.0031,-1.013,0.0525,-0.0613,-3.0363,-0.1564,0.2404,0.5272
1752689876.994469,-0.0525,0.0026,-1.0127,0.1925,-0.0088,-3.045,-0.1562,0.243,0.5302
1752689877.043055,-0.056,0.0028,-1.0106,0.4112,-0.1138,-2.9313,-0.1537,0.2402,0.5319
1752689877.096471,-0.0532,0.0024,-1.0124,0.035,-0.175,-3.1238,-0.1564,0.2374,0.525
1752689877.145042,-0.0524,0.0018,-1.0103,0.2975,-0.2013,-3.1238,-0.1569,0.239,0.5319
1752689877.1985562,-0.0554,0.0042,-1.015,0.35,-0.105,-3.0363,-0.1581,0.2355,0.5293
1752689877.2467484,-0.0548,0.0027,-1.0138,0.2625,0.0,-3.045,-0.1578,0.243,0.5233
1752689877.3005557,-0.0557,0.0029,-1.0122,0.3763,0.0,-3.0188,-0.1567,0.2339,0.5253
1752689877.3495636,-0.0562,0.0045,-1.0114,0.1488,-0.0613,-3.0013,-0.1564,0.2346,0.5298
1752689877.402648,-0.0547,0.0019,-1.0138,0.3325,0.0963,-2.9925,-0.1602,0.2358,0.5286
1752689877.4511013,-0.0531,0.0018,-1.0102,0.3413,-0.1312,-3.0713,-0.1551,0.2376,0.5293
1752689877.505699,-0.0522,0.0034,-1.0114,0.14,-0.0963,-2.765,-0.1596,0.2334,0.533
1752689877.55397,-0.0539,0.0037,-1.0109,0.1488,-0.1837,-2.9663,-0.1569,0.2398,0.5309
1752689877.6077368,-0.0531,0.0051,-1.0119,0.4462,-0.1138,-3.185,-0.1555,0.2387,0.5361
1752689877.6560977,-0.052,0.0029,-1.011,0.1575,-0.1312,-3.1063,-0.1576,0.2393,0.5286
1752689877.709832,-0.0536,0.0023,-1.0122,0.14,-0.2187,-3.045,-0.155,0.2367,0.5375
1752689877.758262,-0.0523,0.0031,-1.0115,0.4375,-0.3675,-3.2288,-0.1574,0.2402,0.5347
